Barcode *,ItemName *,CurrentQty,ProdPurchasePrice *,ProdSellPrice*
1172,Beige 32-1172,5,650,790
1173,Beige Black 28-1173,4,650,790
1568,Belt-1568,67,240,460
1570,Belt-1570,59,310,570
1571,Belt-1571,10,420,670
1572,Belt-1572,6,850,1390
1574,Belt-1574,5,450,790
1575,Belt-1575,33,525,880
1576,Belt-1576,24,525,865
1577,Belt-1577,18,720,1190
1578,Belt-1578,30,790,1260
1579,Belt-1579,10,950,1690
1580,Belt-1580,5,1190,1790
1581,Belt-1581,18,1250,189
1529,Bent-1529,12,150,295
1026,Bi-1026,5,990,1690
557,Blancket-557,7,390,595
843,Blancket-843,5,580,890
673,Blouse-673,28,1125,1790
674,Blouse-674,13,1195,1860
675,Blouse-675,10,1275,1950
677,Blouse-677,8,1195,1790
750,Blouse-750,7,1295,1890
752,Blouse-752,10,790,1350
753,Blouse-753,8,790,1260
771,Blouse-771,8,950,1690
872,Blouse-872,31,790,1260
1001,Blouse-1001,14,1050,1765
1002,Blouse-1002,39,1250,1875
1003,Blouse-1003,16,950,1590
1004,Blouse-1004,11,890,1390
1005,Blouse-1005,32,890,1350
1006,Blouse-1006,5,890,1390
1007,Blouse-1007,9,1150,1790
1052,Blouse-1052,11,1150,1790
1053,Blouse-1053,32,1050,1690
1604,Blouse-1604,6,935,1490
1605,Blouse-1605,8,1025,1690
1606,Blouse-1606,9,725,1240
1608,Blouse-1608,13,895,1390
1609,Blouse-1609,0,890,1390
600,Blouse 234 XL-600,10,1195,1845
644,Blouse 4XL-644,4,1275,1895
656,Blouse Long-656,11,1050,1690
591,Blouses-591,20,1250,1860
1534,Bool-1534,151,85,180
1535,Bool-1535,9,60,120
1536,Bool-1536,10,50,100
1537,Bool-1537,20,150,330
1538,Bool-1538,8,150,330
1549,Bool-1549,21,100,220
1550,Bool-1550,198,25,50
1551,Bool-1551,8,80,200
1364,Border Cheeththa-1364,59,600,945
1180,Bottle-1180,2,750,1290
1181,Bottle-1181,2,750,1290
1182,Bottle-1182,0,750,1290
1183,Bottle-1183,3,575,950
1184,Bottle-1184,4,650,1190
1185,Bottle-1185,4,400,790
1186,Bottle-1186,3,375,590
1187,Bottle-1187,0,750,1390
1188,Bottle-1188,1,700,1290
1189,Bottle-1189,2,750,1290
1190,Bottle-1190,3,825,1390
1215,Bottle-1215,2,0,490
