no,code,Barcode,category,item_name,cost_price_qty,purchase_price,Selling_price,qty,stock,dis_limit
440,2914,2914,Hair care,Hair Bool 2914,15.00 - 30.00 - 0.000,15.00 , 30.00 , 0.000,0,30
2727,2915,2915,Other,Chain Keytag 2915,100.00 - 235.00 - 3.000,100.00 , 235.00 , 3.000,3,200
2728,2916,2916,Other,Keytag 2916,70.00 - 150.00 - 5.000,70.00 , 150.00 , 5.000,5,120
2729,2917,2917,Other,Keytag 2917,50.00 - 100.00 - 8.000,50.00 , 100.00 , 8.000,8,80
2730,2918,2918,Other,Keytag 2918,40.00 - 85.00 - 6.000,40.00 , 85.00 , 6.000,6,70
2731,2919,2919,Other,Keytag 2919,75.00 - 150.00 - 0.000,75.00 , 150.00 , 0.000,0,130
2732,2920,2920,Other,Keytag 2920,30.00 - 60.00 - 2.000,30.00 , 60.00 , 2.000,2,50
3819,2921,2921,Party items,New Huaao Balloon,7.00 - 20.00 - 1206.000,7.00 , 20.00 , 1206.000,1206,20
3820,2922,2922,Party items,Foil Balloon Number05,70.00 - 165.00 - 2.000,70.00 , 165.00 , 2.000,2,120
3821,2923,2923,Party items,Party Popper Small,200.00 - 565.00 - 5.000,200.00 , 565.00 , 5.000,5,350
3822,2924,2924,Party items,Party Popper Big,490.00 - 695.00 - 2.000,490.00 , 695.00 , 2.000,2,550
441,2926,2926,Hair care,Back Comb 2926,100.00 - 225.00 - 3.000,100.00 , 225.00 , 3.000,3,170
442,2927,2927,Hair care,Dye Brush 2927,40.00 - 100.00 - 4.000,40.00 , 100.00 , 4.000,4,80
443,2928,2928,Hair care,Dye Brush 2928,65.00 - 140.00 - 11.000,65.00 , 140.00 , 11.000,11,100
444,2929,2929,Hair care,Dye Brush & Comb 2929,60.00 - 150.00 - 5.000,60.00 , 150.00 , 5.000,5,90
445,2930,2930,Hair care,Saloon Hair Brush 2930,350.00 - 695.00 - 1.000,350.00 , 695.00 , 1.000,1,500
3595,1852,2930,Ladies &,Digital K-Sport Watch,800.00 - 1790.00 - 0.000,800.00 , 1790.00 , 0.000,0,190
447,2933,2933,Hair care,Comb 2933,250.00 - 595.00 - 0.000,250.00 , 595.00 , 0.000,0,450
448,2934,2934,Hair care,Mirror Comb 2934,75.00 - 165.00 - 3.000,75.00 , 165.00 , 3.000,3,100
449,2935,2935,Hair care,Comb 2935,100.00 - 285.00 - 0.000,100.00 , 285.00 , 0.000,0,200
1328,2936,2936,Skin care,Fish Stone 2936,100.00 - 225.00 - 1.000,100.00 , 225.00 , 1.000,1,170
1329,2937,2937,Skin care,Yarong Super Makeup Tools,200.00 - 495.00 - 2.000,200.00 , 495.00 , 2.000,2,350
450,2938,2938,Hair care,Comb England 2938,150.00 - 265.00 - 10.000,150.00 , 265.00 , 10.000,10,200
451,2939,2939,Hair care,Die set 2939,450.00 - 965.00 - 0.000,450.00 , 965.00 , 0.000,0,850
1330,2940,2940,Skin care,Maxine Beauty Set 2940,230.00 - 495.00 - 2.000,230.00 , 495.00 , 2.000,2,350
1331,2941,2941,Skin care,Maxine Beauty Set 2941,250.00 - 565.00 - 6.000,250.00 , 565.00 , 6.000,6,400
1332,2942,2942,Skin care,Maxine Nail Cutter Set 2942,400.00 - 695.00 - 1.000,400.00 , 695.00 , 1.000,1,550
1333,2943,2943,Skin care,Mac Makeup Brush Set,450.00 - 895.00 - 3.000,450.00 , 895.00 , 3.000,3,700
1334,2944,2944,Skin care,Huda Beauty Makeup Brush,1200.00 - 1985.00 - 1.000,1200.00 , 1985.00 , 1.000,1,1500
1335,2945,2945,Skin care,Maxine Padicure Beauty Set,400.00 - 795.00 - 7.000,400.00 , 795.00 , 7.000,7,600
1336,2946,2946,Skin care,Maxine Beauty Set 2946 XL,550.00 - 1100.00 - 0.000,550.00 , 1100.00 , 0.000,0,800
1337,2947,2947,Skin care,Maxine Beauty Set 2947,350.00 - 695.00 - 6.000,350.00 , 695.00 , 6.000,6,500
1338,2948,2948,Skin care,Mehandhi Blocks,125.00 - 285.00 - 21.000,125.00 , 285.00 , 21.000,21,200
452,2949,2949,Hair care,Hair Bun 2949,180.00 - 395.00 - 3.000,180.00 , 395.00 , 3.000,3,250
3727,2455,2950,Ladies &,Citizen Ladies Watche,2200.00 - 3950.00 - 0.000,2200.00 , 3950.00 , 0.000,0,700
455,2952,2952,Hair care,Yarong Eyebrow Tools,600.00 - 1185.00 - 3.000,600.00 , 1185.00 , 3.000,3,850
2017,2956,2956,Makeup,Magic Sponge,225.00 - 495.00 - 8.000,225.00 , 495.00 , 8.000,8,400
2736,2961,2961,Other,Flower Rose Scissors,50.00 - 100.00 - 7.000,50.00 , 100.00 , 7.000,7,80
2174,2962,2962,Jewlery,Hand Belt 2962,75.00 - 165.00 - 3.000,75.00 , 165.00 , 3.000,3,140
2175,2963,2963,Jewlery,Hand Belt 2963,100.00 - 295.00 - 3.000,100.00 , 295.00 , 3.000,3,200
2176,2964,2964,Jewlery,Hand Belt 2964,200.00 - 465.00 - 0.000,200.00 , 465.00 , 0.000,0,400
2177,2965,2965,Jewlery,Hand belt 2965,100.00 - 225.00 - 19.000,100.00 , 225.00 , 19.000,19,170
2178,2966,2966,Jewlery,Hand Belt 2966,110.00 - 265.00 - 0.000,110.00 , 265.00 , 0.000,0,230
2179,2967,2967,Jewlery,Hand Belt 2967,110.00 - 235.00 - 5.000,110.00 , 235.00 , 5.000,5,170
2180,2968,2968,Jewlery,Silver Ladies Chain 2968,150.00 - 395.00 - 10.000,150.00 , 395.00 , 10.000,10,250
